Frequency (Hz),Amplitude
0.000000000000000000e+00,6.477369803482304310e-04
3.332009981851179279e-03,1.974884341098900203e-04
6.664019963702358558e-03,5.189826754544368207e-04
9.996029945553538271e-03,1.092771478043038887e-04
1.332803992740471712e-02,5.387617791631379950e-05
1.666004990925589596e-02,5.717209685546161972e-05
1.999205989110707654e-02,5.807027570234968788e-05
2.332406987295825365e-02,7.596140387197827326e-05
2.665607985480943423e-02,4.674316436733882079e-05
2.998808983666061481e-02,3.416556100343329927e-05
3.332009981851179192e-02,4.242750985789418432e-05
3.665210980036297250e-02,2.595459722246856926e-06
3.998411978221415308e-02,1.951941590079133917e-05
4.331612976406533366e-02,2.908577141366462928e-05
4.664813974591650730e-02,6.740648019586565351e-06
4.998014972776768788e-02,4.970971375810914316e-05
5.331215970961886846e-02,1.739268446937115780e-05
5.664416969147004904e-02,4.601687301830016306e-05
5.997617967332122962e-02,2.409603577419507989e-05
6.330818965517240327e-02,4.309968643131615468e-05
6.664019963702358385e-02,3.515573942323201240e-05
6.997220961887476443e-02,4.043758683405345713e-05
7.330421960072594501e-02,3.232939972803670350e-05
7.663622958257712559e-02,3.935227017249654928e-05
7.996823956442830617e-02,3.270485733010066739e-05
8.330024954627948675e-02,3.497215964486185440e-05
8.663225952813066733e-02,4.016439362406143626e-05
8.996426950998183403e-02,3.324051357178430915e-05
9.329627949183301461e-02,3.935763910561911733e-05
9.662828947368419519e-02,3.658609992975747394e-05
9.996029945553537577e-02,3.878947236987599325e-05
1.032923094373865563e-01,3.507367230638193335e-05
1.066243194192377369e-01,4.608684970309268931e-05
1.099563294010889175e-01,3.684403350308724189e-05
1.132883393829400981e-01,4.218115465025299338e-05
1.166203493647912787e-01,4.011718655160602691e-05
1.199523593466424592e-01,3.676266057024596851e-05
1.232843693284936398e-01,3.881838613812957524e-05
1.266163793103448065e-01,3.294264312388181059e-05
1.299483892921959871e-01,3.894249668346918191e-05
1.332803992740471677e-01,3.783215284410945922e-05
1.366124092558983483e-01,3.539388110883292702e-05
1.399444192377495289e-01,3.839028871352002730e-05
1.432764292196007094e-01,3.975375550241653795e-05
1.466084392014518900e-01,3.727183209537049429e-05
1.499404491833030706e-01,4.034575434089885526e-05
1.532724591651542512e-01,3.369179879424748984e-05
1.566044691470054318e-01,3.672687189904351088e-05
1.599364791288566123e-01,3.525308691443729286e-05
1.632684891107077929e-01,4.148568388611792912e-05
1.666004990925589735e-01,3.664741940135408981e-05
1.699325090744101541e-01,4.008666734805270914e-05
1.732645190562613347e-01,3.879743438022384915e-05
1.765965290381125152e-01,4.151353630253316537e-05
1.799285390199636681e-01,4.016291351538094762e-05
1.832605490018148486e-01,3.991348784859679476e-05
