Frequency (Hz),Amplitude
0.000000000000000000e+00,1.371075583456215824e-04
3.332009981851179279e-03,4.561298282984607949e-04
6.664019963702358558e-03,9.550579216348685074e-04
9.996029945553538271e-03,4.934158544696222058e-04
1.332803992740471712e-02,3.844021064321797979e-04
1.666004990925589596e-02,3.371711109195507129e-04
1.999205989110707654e-02,2.828342012379273462e-04
2.332406987295825365e-02,2.548450341433124893e-04
2.665607985480943423e-02,3.070714325488194227e-04
2.998808983666061481e-02,3.002416196865399030e-04
3.332009981851179192e-02,2.229989554019545664e-04
3.665210980036297250e-02,2.511409614351017361e-04
3.998411978221415308e-02,2.703269813178288492e-04
4.331612976406533366e-02,2.314731177310196467e-04
4.664813974591650730e-02,2.208466654547618980e-04
4.998014972776768788e-02,2.326757434044902603e-04
5.331215970961886846e-02,2.279855731762301589e-04
5.664416969147004904e-02,2.405924291154107699e-04
5.997617967332122962e-02,2.419042283608845709e-04
6.330818965517240327e-02,2.158252680220490276e-04
6.664019963702358385e-02,2.223128099508261707e-04
6.997220961887476443e-02,2.306513671934713326e-04
7.330421960072594501e-02,2.352186320857379274e-04
7.663622958257712559e-02,2.259919406434777805e-04
7.996823956442830617e-02,2.229239524818465209e-04
8.330024954627948675e-02,2.273650924226436917e-04
8.663225952813066733e-02,2.240037966738358589e-04
8.996426950998183403e-02,2.271006239628795920e-04
9.329627949183301461e-02,2.333179904176559583e-04
9.662828947368419519e-02,2.339986888035975113e-04
9.996029945553537577e-02,2.215464555791295796e-04
1.032923094373865563e-01,2.278306981975420644e-04
1.066243194192377369e-01,2.271701078852895507e-04
1.099563294010889175e-01,2.243919882791278048e-04
1.132883393829400981e-01,2.220030211890050814e-04
1.166203493647912787e-01,2.261767344326845333e-04
1.199523593466424592e-01,2.278249478514147942e-04
1.232843693284936398e-01,2.288382331206394442e-04
1.266163793103448065e-01,2.331514882813455773e-04
1.299483892921959871e-01,2.461511599294602002e-04
1.332803992740471677e-01,2.466831802539664665e-04
1.366124092558983483e-01,2.468912496608180115e-04
1.399444192377495289e-01,2.481797727032065515e-04
1.432764292196007094e-01,2.459380768449479556e-04
1.466084392014518900e-01,2.517168075260113646e-04
1.499404491833030706e-01,2.472218270228768817e-04
1.532724591651542512e-01,2.527952385619651530e-04
1.566044691470054318e-01,2.536251135602071889e-04
1.599364791288566123e-01,2.572734336532269089e-04
1.632684891107077929e-01,2.573227382525875213e-04
1.666004990925589735e-01,2.531510660761759597e-04
1.699325090744101541e-01,2.544557567268520811e-04
1.732645190562613347e-01,2.603042897503397087e-04
1.765965290381125152e-01,2.567906997893870951e-04
1.799285390199636681e-01,2.620008707545905821e-04
1.832605490018148486e-01,2.601319556075097151e-04
1.865925589836660292e-01,2.648414920701468709e-04
1.899245689655172098e-01,2.657164999512834857e-04
1.932565789473683904e-01,2.676604060104607885e-04
1.965885889292195710e-01,2.684241651256946020e-04
1.999205989110707515e-01,2.694585557978564495e-04
2.032526088929219321e-01,2.664392906593928637e-04
2.065846188747731127e-01,2.748205569056011714e-04
2.099166288566242933e-01,2.720001308733797853e-04
2.132486388384754739e-01,2.756656497826441110e-04
2.165806488203266544e-01,2.771896770563719642e-04
2.199126588021778350e-01,2.787129804285137357e-04
2.232446687840290156e-01,2.802704803230037000e-04
2.265766787658801962e-01,2.847575228642551591e-04
2.299086887477313768e-01,2.852235026022069539e-04
2.332406987295825573e-01,2.851337192645321257e-04
2.365727087114337379e-01,2.869421607448097069e-04
2.399047186932849185e-01,2.947016679586918534e-04
2.432367286751360991e-01,2.949502072032378981e-04
2.465687386569872797e-01,3.000566269554799789e-04
2.499007486388384325e-01,3.023055635453213564e-04
2.532327586206896131e-01,3.056896882530270461e-04
2.565647686025407936e-01,3.048432895802001053e-04
2.598967785843919742e-01,3.110044221011467117e-04
2.632287885662431548e-01,3.125023968400658918e-04
2.665607985480943354e-01,3.139280711082601699e-04
2.698928085299455160e-01,3.148804551955391605e-04
2.732248185117966965e-01,3.186362262984878866e-04
2.765568284936478771e-01,3.222340120246167811e-04
2.798888384754990577e-01,3.241715508894213709e-04
2.832208484573502383e-01,3.232170629194478016e-04
2.865528584392014189e-01,3.331553875686866346e-04
2.898848684210525994e-01,3.395193662270036788e-04
2.932168784029037800e-01,3.376938977456942653e-04
2.965488883847549606e-01,3.425341651884720832e-04
2.998808983666061412e-01,3.524098724708540605e-04
3.032129083484573218e-01,3.519286087011234097e-04
3.065449183303085023e-01,3.510891754365265925e-04
3.098769283121596829e-01,3.595793592304742593e-04
3.132089382940108635e-01,3.733562821663195331e-04
3.165409482758620441e-01,3.728953934134218891e-04
3.198729582577132247e-01,3.711703603733100087e-04
3.232049682395644052e-01,3.793515873040034380e-04
3.265369782214155858e-01,3.914782222433158812e-04
3.298689882032667664e-01,3.984060820190078170e-04
3.332009981851179470e-01,3.947345027582796072e-04
3.365330081669691276e-01,3.980053847369234132e-04
3.398650181488203081e-01,4.103826815655716559e-04
3.431970281306714887e-01,4.217901653104586934e-04
3.465290381125226693e-01,4.295897829412213733e-04
3.498610480943738499e-01,4.260908125185869258e-04
3.531930580762250305e-01,4.357848702271389799e-04
3.565250680580761555e-01,4.506733036249745139e-04
3.598570780399273361e-01,4.584942180472342853e-04
3.631890880217785167e-01,4.672500890407795785e-04
3.665210980036296973e-01,4.787353499786146005e-04
3.698531079854808779e-01,4.824815985154618458e-04
3.731851179673320584e-01,4.964082437300872683e-04
3.765171279491832390e-01,5.072205231379018795e-04
3.798491379310344196e-01,5.191289957962048202e-04
3.831811479128856002e-01,5.277782477380278062e-04
3.865131578947367808e-01,5.383240841999124143e-04
3.898451678765879613e-01,5.547227427687547114e-04
3.931771778584391419e-01,5.765464414798179187e-04
3.965091878402903225e-01,5.785408899762065548e-04
