Frequency (Hz),Amplitude
0.000000000000000000e+00,1.711836743917309264e-04
3.332009981851179279e-03,3.298700502667656419e-04
6.664019963702358558e-03,3.281289634202891976e-04
9.996029945553538271e-03,2.537994998631995795e-04
1.332803992740471712e-02,2.563174183109687013e-04
1.666004990925589596e-02,2.661999319245043666e-04
1.999205989110707654e-02,2.410345474972581655e-04
2.332406987295825365e-02,2.445126114153818174e-04
2.665607985480943423e-02,2.380423905921087279e-04
2.998808983666061481e-02,2.429547964318153866e-04
3.332009981851179192e-02,2.385813085052400698e-04
3.665210980036297250e-02,2.410997488097161006e-04
3.998411978221415308e-02,2.401005121357132949e-04
4.331612976406533366e-02,2.412755566722213363e-04
4.664813974591650730e-02,2.454467824846172700e-04
4.998014972776768788e-02,2.478574926292118736e-04
5.331215970961886846e-02,2.414446339473025045e-04
5.664416969147004904e-02,2.444903931722477281e-04
5.997617967332122962e-02,2.411434959254604249e-04
6.330818965517240327e-02,2.419105321967828111e-04
6.664019963702358385e-02,2.429224527584864532e-04
6.997220961887476443e-02,2.427047337482662740e-04
7.330421960072594501e-02,2.446936541014435649e-04
7.663622958257712559e-02,2.466140013869999787e-04
7.996823956442830617e-02,2.450000613389026992e-04
8.330024954627948675e-02,2.524920494516749540e-04
8.663225952813066733e-02,2.490543268187312212e-04
8.996426950998183403e-02,2.437330780750748263e-04
9.329627949183301461e-02,2.475829379171338670e-04
9.662828947368419519e-02,2.467678069557574278e-04
9.996029945553537577e-02,2.454217087289183334e-04
1.032923094373865563e-01,2.514290905356778125e-04
1.066243194192377369e-01,2.531696498564249402e-04
1.099563294010889175e-01,2.531072507244178180e-04
1.132883393829400981e-01,2.541639783657847216e-04
1.166203493647912787e-01,2.583103134088828154e-04
1.199523593466424592e-01,2.548827787082558129e-04
1.232843693284936398e-01,2.572438462484761233e-04
1.266163793103448065e-01,2.593860041852362637e-04
1.299483892921959871e-01,2.560544933755157064e-04
1.332803992740471677e-01,2.581649536454046863e-04
1.366124092558983483e-01,2.594564175037186943e-04
1.399444192377495289e-01,2.600630991383868378e-04
1.432764292196007094e-01,2.622662378200163241e-04
1.466084392014518900e-01,2.639005473837752603e-04
