Frequency (Hz),Amplitude
0.000000000000000000e+00,1.364663771127809858e-02
3.335036330608537498e-03,4.687101438321282314e-04
6.670072661217074997e-03,3.493079524071739409e-04
1.000510899182561336e-02,2.936455196280119361e-04
1.334014532243414999e-02,2.486904608596432866e-04
1.667518165304268662e-02,2.343035913131411886e-04
2.001021798365122673e-02,1.929739325972276980e-04
2.334525431425976336e-02,2.076369963931562989e-04
2.668029064486829999e-02,2.842500822657151793e-04
3.001532697547683662e-02,2.695791887846204658e-04
3.335036330608537325e-02,2.563928430484181654e-04
3.668539963669391335e-02,2.495799389175910182e-04
4.002043596730245345e-02,2.530690486409340259e-04
4.335547229791098661e-02,2.522505752041782120e-04
4.669050862851952671e-02,2.295239189726872855e-04
5.002554495912805987e-02,2.298078031724706740e-04
5.336058128973659997e-02,2.464726222230139113e-04
5.669561762034514008e-02,2.312956311094584356e-04
6.003065395095367324e-02,2.391370294353550299e-04
6.336569028156220640e-02,2.460527015336421808e-04
6.670072661217074650e-02,2.385758608286236190e-04
7.003576294277928660e-02,2.457533882848733056e-04
7.337079927338782670e-02,2.385148213293022588e-04
7.670583560399636680e-02,2.408080115553581945e-04
8.004087193460490690e-02,2.296126581175677900e-04
8.337590826521343312e-02,2.347674834474178240e-04
8.671094459582197322e-02,2.320631610694799012e-04
9.004598092643051332e-02,2.390872173351189735e-04
9.338101725703905343e-02,2.388800524489173235e-04
9.671605358764759353e-02,2.383563109931135105e-04
1.000510899182561197e-01,2.423577473679796343e-04
1.033861262488646598e-01,2.365078069084815781e-04
1.067211625794731999e-01,2.415275383689959835e-04
1.100561989100817400e-01,2.426099791590795220e-04
1.133912352406902802e-01,2.442853742980559384e-04
1.167262715712988064e-01,2.444912568622618757e-04
1.200613079019073465e-01,2.476957994896018334e-04
1.233963442325158866e-01,2.509692016215932025e-04
1.267313805631244128e-01,2.457538462642977635e-04
1.300664168937329668e-01,2.478869171771651129e-04
1.334014532243414930e-01,2.500717986203044208e-04
1.367364895549500470e-01,2.499683205829646235e-04
1.400715258855585732e-01,2.525767190565405087e-04
1.434065622161670994e-01,2.515113974152906155e-04
1.467415985467756534e-01,2.529975210655818806e-04
1.500766348773841796e-01,2.536008265112685896e-04
1.534116712079927336e-01,2.523677511382731403e-04
1.567467075386012598e-01,2.575186547167350199e-04
1.600817438692098138e-01,2.544978976442815641e-04
1.634167801998183400e-01,2.587749705592988633e-04
1.667518165304268662e-01,2.582834725919420276e-04
1.700868528610354202e-01,2.599166091840629587e-04
1.734218891916439464e-01,2.602405177126849664e-04
1.767569255222525004e-01,2.616962115854450837e-04
1.800919618528610266e-01,2.635958094218891464e-04
1.834269981834695529e-01,2.647975946464131572e-04
1.867620345140781069e-01,2.677355544302328005e-04
1.900970708446866331e-01,2.677805879059829710e-04
1.934321071752951871e-01,2.671109053167922717e-04
1.967671435059037133e-01,2.652435150251557911e-04
2.001021798365122395e-01,2.705721934508226460e-04
2.034372161671207935e-01,2.720077439531243106e-04
2.067722524977293197e-01,2.764516305864976099e-04
2.101072888283378737e-01,2.770245214351526068e-04
2.134423251589463999e-01,2.834317874506014196e-04
2.167773614895549261e-01,2.799939574779930235e-04
2.201123978201634801e-01,2.835464567535914636e-04
2.234474341507720063e-01,2.836909192706228017e-04
2.267824704813805603e-01,2.839289025075734723e-04
2.301175068119890865e-01,2.866088448711896558e-04
2.334525431425976127e-01,2.910040172582897757e-04
2.367875794732061667e-01,2.924801321587500538e-04
2.401226158038146929e-01,2.915757253842706886e-04
2.434576521344232469e-01,2.993346288174001182e-04
2.467926884650317731e-01,2.967433552489537633e-04
2.501277247956403271e-01,3.037498122323100780e-04
2.534627611262488256e-01,3.005221759646307315e-04
2.567977974568573796e-01,3.043474225165109328e-04
2.601328337874659336e-01,3.089554105995435951e-04
2.634678701180744875e-01,3.105721013086296784e-04
2.668029064486829860e-01,3.166524533745409837e-04
2.701379427792915400e-01,3.185549623692960426e-04
2.734729791099000940e-01,3.237798706341707736e-04
2.768080154405085924e-01,3.223479639636193310e-04
2.801430517711171464e-01,3.273403661580033520e-04
2.834780881017257004e-01,3.308133987298621757e-04
2.868131244323341988e-01,3.309670297195312972e-04
2.901481607629427528e-01,3.390824975775493032e-04
2.934831970935513068e-01,3.391387054792127588e-04
2.968182334241598608e-01,3.459741690543435269e-04
3.001532697547683592e-01,3.450300672204587135e-04
