Frequency (Hz),Amplitude
0.000000000000000000e+00,2.295734661676922597e-02
3.332009981851179279e-03,2.428458268106612741e-04
6.664019963702358558e-03,1.438846490472963703e-04
9.996029945553538271e-03,1.608588456285398721e-04
1.332803992740471712e-02,1.136533346319006847e-04
1.666004990925589596e-02,1.245815050219853230e-04
1.999205989110707654e-02,1.162751560649382152e-04
2.332406987295825365e-02,1.033162177530353820e-04
2.665607985480943423e-02,1.098298378759318119e-04
2.998808983666061481e-02,1.034424549185989289e-04
3.332009981851179192e-02,1.061649031799267984e-04
3.665210980036297250e-02,1.076903020138949928e-04
3.998411978221415308e-02,1.062725591707310821e-04
4.331612976406533366e-02,1.242105604583414711e-04
4.664813974591650730e-02,1.591875938639978868e-04
4.998014972776768788e-02,2.376169916255643593e-04
5.331215970961886846e-02,1.574665406961100230e-04
5.664416969147004904e-02,6.233112486030064356e-05
5.997617967332122962e-02,5.092401310480513269e-05
6.330818965517240327e-02,6.178842659062768914e-05
6.664019963702358385e-02,6.146199093983328204e-05
6.997220961887476443e-02,6.584146416223986189e-05
7.330421960072594501e-02,7.652787606456746888e-05
7.663622958257712559e-02,7.940414432884427328e-05
7.996823956442830617e-02,7.736777600716533883e-05
8.330024954627948675e-02,7.778513355381812548e-05
8.663225952813066733e-02,8.375203539127005418e-05
8.996426950998183403e-02,7.937269015654980077e-05
9.329627949183301461e-02,7.864077395280584819e-05
9.662828947368419519e-02,8.004453506063254097e-05
9.996029945553537577e-02,5.940697746557778452e-05
1.032923094373865563e-01,8.667465607044461150e-05
1.066243194192377369e-01,1.034721379918712811e-04
1.099563294010889175e-01,7.674078706579375172e-05
1.132883393829400981e-01,7.751767954463033414e-05
1.166203493647912787e-01,7.828641601571371500e-05
1.199523593466424592e-01,8.013688321565616242e-05
1.232843693284936398e-01,8.194589422869803634e-05
1.266163793103448065e-01,8.174902034673148092e-05
1.299483892921959871e-01,8.645043203351013695e-05
1.332803992740471677e-01,7.817136798334836309e-05
1.366124092558983483e-01,8.125048810254032925e-05
1.399444192377495289e-01,8.282785024825203824e-05
1.432764292196007094e-01,8.594312853948839323e-05
1.466084392014518900e-01,7.642737660160469726e-05
1.499404491833030706e-01,7.985454616703614240e-05
1.532724591651542512e-01,9.243879190174366799e-05
1.566044691470054318e-01,8.239449235758547214e-05
1.599364791288566123e-01,1.067160212296179708e-04
1.632684891107077929e-01,9.240590999015978419e-05
1.666004990925589735e-01,9.218537733847695132e-05
1.699325090744101541e-01,8.967242199977989243e-05
1.732645190562613347e-01,9.105140762382257379e-05
1.765965290381125152e-01,8.597844196964985223e-05
1.799285390199636681e-01,9.087930359804708791e-05
1.832605490018148486e-01,8.800842729028280199e-05
1.865925589836660292e-01,9.238890310092616497e-05
1.899245689655172098e-01,8.876715290375493698e-05
1.932565789473683904e-01,9.204981377904378410e-05
1.965885889292195710e-01,8.828759594657808660e-05
1.999205989110707515e-01,9.029668249750473692e-05
2.032526088929219321e-01,9.410445837485165773e-05
2.065846188747731127e-01,9.462079283158608028e-05
2.099166288566242933e-01,9.410131711853374280e-05
2.132486388384754739e-01,9.789882668305780042e-05
2.165806488203266544e-01,9.710565040277284433e-05
2.199126588021778350e-01,9.811491792702904061e-05
2.232446687840290156e-01,9.574155390753570063e-05
2.265766787658801962e-01,9.994216201591451859e-05
2.299086887477313768e-01,9.618125039403962887e-05
2.332406987295825573e-01,9.981914575938518057e-05
2.365727087114337379e-01,9.581766130886848639e-05
2.399047186932849185e-01,1.010327736096403549e-04
2.432367286751360991e-01,8.847160180030520023e-05
2.465687386569872797e-01,9.723313740350160385e-05
2.499007486388384325e-01,9.551056737941492026e-05
2.532327586206896131e-01,9.686602280074085934e-05
2.565647686025407936e-01,9.942273363981008697e-05
2.598967785843919742e-01,9.403994135954031174e-05
2.632287885662431548e-01,1.002048445424540959e-04
2.665607985480943354e-01,9.898218467349208347e-05
2.698928085299455160e-01,1.034857932770192848e-04
2.732248185117966965e-01,1.027574377018142113e-04
2.765568284936478771e-01,1.057763295379252121e-04
2.798888384754990577e-01,1.045601049934540775e-04
2.832208484573502383e-01,1.028434592768298151e-04
2.865528584392014189e-01,1.084221907024062722e-04
2.898848684210525994e-01,1.059944383493883108e-04
2.932168784029037800e-01,1.099430139945063061e-04
2.965488883847549606e-01,1.062228086939711230e-04
2.998808983666061412e-01,1.068629513058414414e-04
3.032129083484573218e-01,1.105736206391572004e-04
3.065449183303085023e-01,1.062238338569520093e-04
3.098769283121596829e-01,1.094706695425020011e-04
3.132089382940108635e-01,1.157658646118797999e-04
3.165409482758620441e-01,1.137441607319794845e-04
3.198729582577132247e-01,1.158449152002200764e-04
3.232049682395644052e-01,1.118007627478297068e-04
3.265369782214155858e-01,1.171074435341036931e-04
3.298689882032667664e-01,1.204170201414799646e-04
3.332009981851179470e-01,1.220262069958938551e-04
3.365330081669691276e-01,1.161169441579341921e-04
3.398650181488203081e-01,1.192694478424633896e-04
3.431970281306714887e-01,1.222277852935217592e-04
3.465290381125226693e-01,1.241779364810985061e-04
3.498610480943738499e-01,1.214372548665045790e-04
3.531930580762250305e-01,1.269209348632763484e-04
3.565250680580761555e-01,1.250796735179908090e-04
3.598570780399273361e-01,1.299604512095315528e-04
3.631890880217785167e-01,1.318960847827236195e-04
3.665210980036296973e-01,1.266645612345665981e-04
3.698531079854808779e-01,1.349355237718062627e-04
3.731851179673320584e-01,1.329867420787394713e-04
3.765171279491832390e-01,1.322141349145298432e-04
3.798491379310344196e-01,1.371185876945840080e-04
3.831811479128856002e-01,1.392396332676856720e-04
3.865131578947367808e-01,1.394043898531201187e-04
3.898451678765879613e-01,1.429783656037739116e-04
3.931771778584391419e-01,1.475711995212608009e-04
3.965091878402903225e-01,1.437007214322802580e-04
3.998411978221415031e-01,1.529794097898085862e-04
4.031732078039926837e-01,1.490526132678435397e-04
4.065052177858438642e-01,1.508740481242736692e-04
4.098372277676950448e-01,1.567606428993980618e-04
4.131692377495462254e-01,1.555133510329846896e-04
4.165012477313974060e-01,1.587149584818300224e-04
4.198332577132485866e-01,1.622992513850655407e-04
4.231652676950997671e-01,1.640037964592598401e-04
4.264972776769509477e-01,1.627453799041548481e-04
4.298292876588021283e-01,1.684734486414539141e-04
4.331612976406533089e-01,1.650208940789341951e-04
4.364933076225044895e-01,1.760704080294742894e-04
4.398253176043556700e-01,1.721937308250466754e-04
4.431573275862068506e-01,1.783616878591059193e-04
4.464893375680580312e-01,1.791465827868663277e-04
4.498213475499092118e-01,1.801561919752679860e-04
4.531533575317603924e-01,1.648798246724827727e-04
4.564853675136115729e-01,2.058468847806891515e-04
4.598173774954627535e-01,1.877679330783034852e-04
4.631493874773139341e-01,2.026276180038039576e-04
4.664813974591651147e-01,1.943609938502625337e-04
4.698134074410162953e-01,2.036953399801381655e-04
4.731454174228674758e-01,1.953794001134332174e-04
4.764774274047186564e-01,2.092785605467698061e-04
4.798094373865698370e-01,2.082977174039382315e-04
4.831414473684210176e-01,2.405150906181826730e-04
4.864734573502721982e-01,2.551546519686436268e-04
4.898054673321233787e-01,3.211533508444227615e-04
4.931374773139745593e-01,4.129980663829687618e-04
4.964694872958257399e-01,6.099184894625647550e-04
4.998014972776768650e-01,1.014078816362592181e-03
5.031335072595281011e-01,2.095147776598164143e-03
5.064655172413792261e-01,1.081872665962086213e-02
5.097975272232304622e-01,5.311783609115428711e-03
5.131295372050815873e-01,2.560653673526819794e-03
5.164615471869328234e-01,1.937011080476309629e-03
5.197935571687839484e-01,1.677960168127682174e-03
5.231255671506351845e-01,1.575248218852226935e-03
5.264575771324863096e-01,1.545534255568978407e-03
5.297895871143375457e-01,1.586749770930907149e-03
5.331215970961886708e-01,1.660725696713886718e-03
5.364536070780399069e-01,1.811750323116362001e-03
5.397856170598910319e-01,2.021219840924087623e-03
5.431176270417422680e-01,2.367809380735748283e-03
5.464496370235933931e-01,2.884920345999819093e-03
5.497816470054446292e-01,3.849612917702300522e-03
5.531136569872957542e-01,5.906645185825498516e-03
5.564456669691469903e-01,1.323734227726368340e-02
5.597776769509981154e-01,5.807080330707831139e-02
5.631096869328493515e-01,7.441479287214176029e-03
5.664416969147004766e-01,4.111762347778814136e-03
5.697737068965516016e-01,2.823821200479691672e-03
5.731057168784028377e-01,2.131347905164228309e-03
5.764377268602539628e-01,1.713579086649820796e-03
5.797697368421051989e-01,1.421819117276112597e-03
5.831017468239563240e-01,1.209311140789144472e-03
5.864337568058075600e-01,1.049562215027055384e-03
5.897657667876586851e-01,9.235258878444400216e-04
5.930977767695099212e-01,8.250549862219414389e-04
5.964297867513610463e-01,7.428030896388103680e-04
5.997617967332122824e-01,6.849595029549920659e-04
6.030938067150634074e-01,6.206624094332380877e-04
6.064258166969146435e-01,5.768911739753042724e-04
6.097578266787657686e-01,6.185934208702384722e-04
6.130898366606170047e-01,5.242546054824802739e-04
6.164218466424681298e-01,4.755259480521407240e-04
6.197538566243193658e-01,4.364476776196817378e-04
6.230858666061704909e-01,4.132526422455504904e-04
6.264178765880217270e-01,3.882835562099559235e-04
6.297498865698728521e-01,3.682442662884691329e-04
6.330818965517240882e-01,3.477754505223829462e-04
6.364139065335752132e-01,3.297618759697319474e-04
6.397459165154264493e-01,3.165387493446410226e-04
6.430779264972775744e-01,3.000566431568611444e-04
6.464099364791288105e-01,2.896782000638678436e-04
6.497419464609799356e-01,2.806955743910080864e-04
6.530739564428311716e-01,2.706221900639138112e-04
6.564059664246822967e-01,2.522080761848216027e-04
6.597379764065335328e-01,2.585785268699698834e-04
6.630699863883846579e-01,2.331956498871945753e-04
6.664019963702358940e-01,2.272965531875395181e-04
6.697340063520870190e-01,2.287849969130926824e-04
6.730660163339382551e-01,2.114243016809343439e-04
6.763980263157893802e-01,2.039821131019583676e-04
6.797300362976406163e-01,1.989377304093307790e-04
6.830620462794917414e-01,1.903471187297404478e-04
6.863940562613429774e-01,1.884262046778316510e-04
6.897260662431941025e-01,1.839581901484970349e-04
6.930580762250453386e-01,1.780276158536367318e-04
6.963900862068964637e-01,1.721568727937185608e-04
6.997220961887476998e-01,1.617209816898519030e-04
7.030541061705988248e-01,1.626847378084771991e-04
7.063861161524500609e-01,1.561849382508529002e-04
7.097181261343011860e-01,1.559244253733832388e-04
7.130501361161523111e-01,1.443032237400223357e-04
7.163821460980035472e-01,1.498913632298516110e-04
7.197141560798546722e-01,1.373053805484674133e-04
7.230461660617059083e-01,1.395434468099824611e-04
7.263781760435570334e-01,1.336705461974301251e-04
7.297101860254082695e-01,1.275689995374329336e-04
7.330421960072593945e-01,1.284859818405642150e-04
7.363742059891106306e-01,1.254025122627781385e-04
7.397062159709617557e-01,1.207522809796631597e-04
7.430382259528129918e-01,1.234810675393775389e-04
7.463702359346641169e-01,1.184496142106293147e-04
7.497022459165153530e-01,1.146930993765550073e-04
7.530342558983664780e-01,1.129120643498269730e-04
7.563662658802177141e-01,1.129412599313926686e-04
7.596982758620688392e-01,1.063665039465780892e-04
7.630302858439200753e-01,1.039887901405182620e-04
7.663622958257712003e-01,1.063239744744811613e-04
7.696943058076224364e-01,1.089512538044602172e-04
7.730263157894735615e-01,9.641535524507579202e-05
7.763583257713247976e-01,1.006527981762827699e-04
7.796903357531759227e-01,9.634524652666767795e-05
7.830223457350271588e-01,9.792060789833445121e-05
7.863543557168782838e-01,9.434764922553143143e-05
7.896863656987295199e-01,9.330340680790513599e-05
7.930183756805806450e-01,8.858645464883411938e-05
7.963503856624318811e-01,9.091365787314718209e-05
7.996823956442830061e-01,8.930404757682695632e-05
8.030144056261342422e-01,8.209717188165894055e-05
8.063464156079853673e-01,8.407219780425842341e-05
8.096784255898366034e-01,7.945036507149845603e-05
8.130104355716877285e-01,8.280595101224922023e-05
8.163424455535389646e-01,8.275713232349372244e-05
8.196744555353900896e-01,8.243107273686467863e-05
8.230064655172413257e-01,8.047750894120673279e-05
8.263384754990924508e-01,7.142478735565922635e-05
8.296704854809436869e-01,7.638955962784023358e-05
8.330024954627948119e-01,7.443413308239461802e-05
8.363345054446460480e-01,7.407081582997815915e-05
8.396665154264971731e-01,7.457197760594036094e-05
8.429985254083484092e-01,7.237744270860920772e-05
8.463305353901995343e-01,6.966885705740902214e-05
8.496625453720507704e-01,6.722595595839247725e-05
8.529945553539018954e-01,6.998701578181773964e-05
8.563265653357530205e-01,6.711730527347442847e-05
8.596585753176042566e-01,7.200620334916443994e-05
8.629905852994553817e-01,6.768459863768081961e-05
8.663225952813066177e-01,6.788426258839449893e-05
8.696546052631577428e-01,6.644784087253934588e-05
8.729866152450089789e-01,6.276537595933981797e-05
8.763186252268601040e-01,6.619266264677307096e-05
8.796506352087113401e-01,5.905656110751030701e-05
8.829826451905624651e-01,6.525888082052683150e-05
8.863146551724137012e-01,5.707823432209554521e-05
8.896466651542648263e-01,6.189798668378507099e-05
8.929786751361160624e-01,5.785439649128279091e-05
8.963106851179671875e-01,5.827817115448195141e-05
8.996426950998184235e-01,5.680190387494101314e-05
9.029747050816695486e-01,5.674210728515650725e-05
9.063067150635207847e-01,5.091846164727176368e-05
9.096387250453719098e-01,5.804683223651583977e-05
9.129707350272231459e-01,5.135497892550865780e-05
9.163027450090742709e-01,5.193813241448733028e-05
9.196347549909255070e-01,5.314662245411981182e-05
9.229667649727766321e-01,5.260474812015695579e-05
9.262987749546278682e-01,5.518845885325632906e-05
9.296307849364789933e-01,5.163931598151503313e-05
9.329627949183302293e-01,4.889961331366339249e-05
9.362948049001813544e-01,4.964479194325716890e-05
9.396268148820325905e-01,4.949162819329239903e-05
9.429588248638837156e-01,4.859066475029335196e-05
9.462908348457349517e-01,4.856948230692538406e-05
9.496228448275860767e-01,4.993748510961567872e-05
9.529548548094373128e-01,4.877881254603791319e-05
9.562868647912884379e-01,4.855689440931789698e-05
9.596188747731396740e-01,2.902405470974425778e-05
9.629508847549907991e-01,4.262669568574481215e-05
9.662828947368420351e-01,3.469411131679872535e-05
9.696149047186931602e-01,4.196844054763043495e-05
9.729469147005443963e-01,4.506053606966099089e-05
9.762789246823955214e-01,4.695160095087724133e-05
9.796109346642467575e-01,4.613666707587375348e-05
9.829429446460978825e-01,4.108384900628163220e-05
9.862749546279491186e-01,4.098402505497213437e-05
9.896069646098002437e-01,4.288080458924179903e-05
9.929389745916514798e-01,4.295641150079291333e-05
9.962709845735026049e-01,4.115159319568092978e-05
9.996029945553537299e-01,4.166493687625185695e-05
1.002935004537204966e+00,4.155895608817422501e-05
1.006267014519056202e+00,4.378206827938831662e-05
1.009599024500907216e+00,4.524606294916558107e-05
1.012931034482758452e+00,1.433907576370554364e-05
1.016263044464609688e+00,3.217238514259255816e-05
1.019595054446460924e+00,5.859803669741849101e-05
1.022927064428311938e+00,4.570356187207085555e-05
1.026259074410163175e+00,3.918777075916146711e-05
1.029591084392014411e+00,3.864831411437357026e-05
1.032923094373865647e+00,4.376106511516967505e-05
1.036255104355716661e+00,3.661080484688782288e-05
1.039587114337567897e+00,3.869484609509038530e-05
1.042919124319419133e+00,3.610504101592806111e-05
1.046251134301270369e+00,3.831398760340178614e-05
1.049583144283121383e+00,4.076019400622981221e-05
1.052915154264972619e+00,4.112469908177302836e-05
1.056247164246823855e+00,4.310403600946927045e-05
1.059579174228675091e+00,5.244688546447769936e-05
1.062911184210526105e+00,8.103939292563732029e-05
1.066243194192377342e+00,1.860331245194977393e-04
1.069575204174228578e+00,7.137187868644620524e-06
1.072907214156079814e+00,2.864362282969703038e-06
1.076239224137930828e+00,1.171952963775514260e-05
1.079571234119782064e+00,1.278608862412218502e-05
1.082903244101633300e+00,1.582613472504461455e-05
1.086235254083484536e+00,1.915019858652802827e-05
1.089567264065335550e+00,1.417039278761539578e-05
1.092899274047186786e+00,1.120452972644626914e-05
1.096231284029038022e+00,1.262581807232638616e-05
1.099563294010889258e+00,6.949437509393882517e-06
1.102895303992740272e+00,6.169742550050657615e-06
1.106227313974591508e+00,1.381179220140621543e-05
1.109559323956442745e+00,2.050069656461130611e-05
1.112891333938293981e+00,7.428400292655152053e-05
1.116223343920144995e+00,1.538561333267171648e-04
1.119555353901996231e+00,4.870543764444032128e-04
1.122887363883847467e+00,1.786669673866805679e-04
1.126219373865698703e+00,1.036211614019110449e-04
1.129551383847549717e+00,7.164604463820511764e-05
1.132883393829400953e+00,5.802403619395979497e-05
1.136215403811252189e+00,4.617380229219804924e-05
1.139547413793103203e+00,4.057449805905385341e-05
1.142879423774954439e+00,3.361233110444228778e-05
1.146211433756805675e+00,2.767858333728889203e-05
1.149543443738656912e+00,2.161366900493275189e-05
1.152875453720507926e+00,2.469382680455798723e-05
1.156207463702359162e+00,2.591153570551116685e-05
1.159539473684210398e+00,2.909920976471500788e-05
1.162871483666061634e+00,2.902065190296709737e-05
1.166203493647912648e+00,2.760255198026761295e-05
1.169535503629763884e+00,5.029044183135364333e-05
1.172867513611615120e+00,1.028028341872953534e-05
1.176199523593466356e+00,3.678295737891394029e-05
1.179531533575317370e+00,3.383596832368182138e-05
1.182863543557168606e+00,3.168732398094704043e-05
1.186195553539019842e+00,3.413100197585357195e-05
1.189527563520871078e+00,3.080303354545633956e-05
1.192859573502722093e+00,3.395481697794069595e-05
1.196191583484573329e+00,2.916731522027676121e-05
1.199523593466424565e+00,2.969837346016858496e-05
1.202855603448275801e+00,2.993635805790032149e-05
1.206187613430126815e+00,2.914855168755074133e-05
1.209519623411978051e+00,2.613114592966213036e-05
1.212851633393829287e+00,2.217755313405446051e-05
1.216183643375680523e+00,1.875501851499173416e-05
1.219515653357531537e+00,4.891744665232555762e-05
1.222847663339382773e+00,2.760033663680086643e-05
1.226179673321234009e+00,7.799521734610124495e-06
1.229511683303085245e+00,2.122569279434165733e-05
1.232843693284936260e+00,2.387419650674823320e-05
1.236175703266787496e+00,2.831749129152350892e-05
1.239507713248638732e+00,2.456526199713599472e-05
1.242839723230489968e+00,2.458491531735212542e-05
1.246171733212340982e+00,2.763090555177891576e-05
1.249503743194192218e+00,2.584924736567862624e-05
1.252835753176043454e+00,2.490312821143186018e-05
1.256167763157894690e+00,2.591400752687790388e-05
1.259499773139745704e+00,2.795983431788942125e-05
1.262831783121596940e+00,2.556521188608989789e-05
1.266163793103448176e+00,3.073520535264574575e-05
1.269495803085299412e+00,3.974928172795772342e-05
1.272827813067150426e+00,2.529546232540599721e-05
1.276159823049001663e+00,3.238814543877600822e-05
1.279491833030852899e+00,1.407144390231599398e-05
1.282823843012703913e+00,1.958489324979949646e-05
1.286155852994555149e+00,2.159979742821004030e-05
1.289487862976406385e+00,2.522187147007274905e-05
1.292819872958257621e+00,2.189328303901050837e-05
1.296151882940108635e+00,2.196290883781942899e-05
1.299483892921959871e+00,1.811000962698458794e-05
1.302815902903811107e+00,2.434382214581298046e-05
1.306147912885662343e+00,2.085816909020827179e-05
1.309479922867513357e+00,2.650172942203943795e-05
1.312811932849364593e+00,2.654971036035316402e-05
