Frequency (Hz),Amplitude
0.000000000000000000e+00,1.346613058377523799e-02
3.332009981851179279e-03,4.991781984086175218e-04
6.664019963702358558e-03,3.496802440534294292e-04
9.996029945553538271e-03,2.599069401642673622e-04
1.332803992740471712e-02,2.086501831610272010e-04
1.666004990925589596e-02,1.777780223811694727e-04
1.999205989110707654e-02,1.265499459444314795e-04
2.332406987295825365e-02,7.847935008519482051e-05
2.665607985480943423e-02,2.493054076115357913e-04
2.998808983666061481e-02,2.252199577872667066e-04
3.332009981851179192e-02,2.082258948853373611e-04
3.665210980036297250e-02,1.949963420038374016e-04
3.998411978221415308e-02,1.941708162372202486e-04
4.331612976406533366e-02,1.902123812098096374e-04
4.664813974591650730e-02,1.773879643918941566e-04
4.998014972776768788e-02,1.725564071354996362e-04
5.331215970961886846e-02,2.006720510289952306e-04
5.664416969147004904e-02,1.828706603730072971e-04
5.997617967332122962e-02,1.757033195702526742e-04
6.330818965517240327e-02,1.749722123018890318e-04
6.664019963702358385e-02,1.759097012224569983e-04
6.997220961887476443e-02,1.764560640926944959e-04
7.330421960072594501e-02,1.724495241762365161e-04
7.663622958257712559e-02,1.838993541452763460e-04
7.996823956442830617e-02,1.750565844190649664e-04
8.330024954627948675e-02,1.786560409668799180e-04
8.663225952813066733e-02,1.812127774276416439e-04
8.996426950998183403e-02,1.752933196011788048e-04
9.329627949183301461e-02,1.825356822367405168e-04
9.662828947368419519e-02,1.772202238252160525e-04
9.996029945553537577e-02,1.825101368536396530e-04
1.032923094373865563e-01,1.806188739507237585e-04
1.066243194192377369e-01,1.804762142844466301e-04
1.099563294010889175e-01,1.820037323119820495e-04
1.132883393829400981e-01,1.887675668185704095e-04
1.166203493647912787e-01,1.824910908124742514e-04
1.199523593466424592e-01,1.838462497935488703e-04
1.232843693284936398e-01,1.839053809745397252e-04
1.266163793103448065e-01,1.847129396642318579e-04
1.299483892921959871e-01,1.824541932088677670e-04
1.332803992740471677e-01,1.899853350353023895e-04
1.366124092558983483e-01,1.926887779328416753e-04
1.399444192377495289e-01,1.901092982249311786e-04
1.432764292196007094e-01,1.908447543375566024e-04
1.466084392014518900e-01,1.873476732599071960e-04
1.499404491833030706e-01,1.895262165784444971e-04
1.532724591651542512e-01,1.887844157247617718e-04
1.566044691470054318e-01,1.944505010110995067e-04
1.599364791288566123e-01,1.945798309890416381e-04
1.632684891107077929e-01,1.932403900254478512e-04
1.666004990925589735e-01,1.986394765760184967e-04
1.699325090744101541e-01,1.982868248056067267e-04
1.732645190562613347e-01,1.994021059004646122e-04
1.765965290381125152e-01,1.976660553903027649e-04
1.799285390199636681e-01,1.995000513938309202e-04
1.832605490018148486e-01,2.003410149039572036e-04
1.865925589836660292e-01,2.010055720826584577e-04
1.899245689655172098e-01,2.013601318935540042e-04
1.932565789473683904e-01,2.033852901967602225e-04
1.965885889292195710e-01,2.017635025103745245e-04
1.999205989110707515e-01,2.072808225906031985e-04
2.032526088929219321e-01,2.098785519725203830e-04
2.065846188747731127e-01,2.106725459089655932e-04
2.099166288566242933e-01,2.091607248871425902e-04
2.132486388384754739e-01,2.141152960532407526e-04
2.165806488203266544e-01,2.159379041469655246e-04
2.199126588021778350e-01,2.136619719598771116e-04
2.232446687840290156e-01,2.132387764204174679e-04
2.265766787658801962e-01,2.165885937444326690e-04
2.299086887477313768e-01,2.197274742524126423e-04
2.332406987295825573e-01,2.230141915960448323e-04
