Frequency (Hz),Amplitude
0.000000000000000000e+00,1.639416753029336940e-02
8.326247165532880967e-03,1.818400495651074239e-04
1.665249433106576193e-02,1.585111890243930219e-04
2.497874149659864290e-02,1.367751147167672041e-04
3.330498866213152387e-02,1.427286398595080765e-04
4.163123582766440484e-02,1.397078576807801937e-04
4.995748299319728580e-02,1.407812724715465250e-04
5.828373015873016677e-02,1.465950076940051162e-04
6.660997732426304774e-02,1.529188275896736999e-04
7.493622448979592177e-02,1.488123040662046805e-04
8.326247165532880967e-02,1.469310148771485241e-04
9.158871882086169758e-02,1.408243738695870960e-04
9.991496598639457161e-02,1.456227775180436918e-04
1.082412131519274456e-01,1.522766657101487801e-04
1.165674603174603335e-01,1.556612915233066875e-04
1.248937074829932214e-01,1.622697428175362013e-04
1.332199546485260955e-01,1.604065453006225364e-04
1.415462018140589695e-01,1.593566496798632217e-04
1.498724489795918435e-01,1.688190242322573523e-04
1.581986961451247453e-01,1.699814920029821762e-04
1.665249433106576193e-01,1.741452898282376972e-04
1.748511904761904934e-01,1.791793528532677226e-04
1.831774376417233952e-01,1.818352892897654111e-04
1.915036848072562692e-01,1.837272671508918061e-04
1.998299319727891432e-01,1.860541440922064329e-04
2.081561791383220172e-01,2.017381426269987789e-04
2.164824263038548913e-01,2.063087127974441606e-04
2.248086734693877931e-01,2.147916374154228093e-04
2.331349206349206671e-01,2.184787043158689776e-04
2.414611678004535411e-01,2.203654674077096861e-04
2.497874149659864429e-01,2.270339011470522085e-04
2.581136621315193169e-01,2.450006006945107807e-04
2.664399092970521910e-01,2.475515990007443935e-04
2.747661564625850650e-01,2.568094215104952771e-04
2.830924036281179390e-01,2.689260017258316153e-04
2.914186507936508130e-01,2.769267289311530523e-04
2.997448979591836871e-01,2.862343146586389993e-04
3.080711451247166166e-01,3.019110350354261424e-04
3.163973922902494906e-01,3.149798679408193211e-04
3.247236394557823647e-01,3.322452695242608754e-04
3.330498866213152387e-01,3.468881605428995613e-04
3.413761337868481127e-01,3.648129001725052239e-04
3.497023809523809867e-01,3.855098357130942385e-04
3.580286281179138608e-01,4.169009611814784269e-04
3.663548752834467903e-01,4.391294168167377714e-04
3.746811224489796643e-01,4.698894122972487237e-04
3.830073696145125384e-01,4.971543333771758855e-04
3.913336167800454124e-01,5.398820349361673409e-04
3.996598639455782864e-01,5.817005018266055427e-04
4.079861111111111605e-01,6.358426074159178720e-04
4.163123582766440345e-01,6.982778750602777881e-04
4.246386054421769085e-01,7.714227824720178584e-04
4.329648526077097825e-01,8.603998397748663721e-04
4.412910997732427121e-01,9.706916355747079693e-04
4.496173469387755861e-01,1.116750623134398369e-03
4.579435941043084601e-01,1.310353425396743651e-03
4.662698412698413342e-01,1.582109668295964520e-03
4.745960884353742082e-01,1.997442084146841285e-03
4.829223356009070822e-01,2.697259210169039752e-03
4.912485827664399562e-01,4.130784706970750363e-03
4.995748299319728858e-01,8.851646090696904320e-03
5.079010770975057598e-01,7.191093424224864750e-02
5.162273242630386338e-01,7.156221283445148365e-03
5.245535714285715079e-01,3.787073988026084300e-03
5.328798185941043819e-01,2.573797201883333031e-03
5.412060657596372559e-01,1.944226617493416062e-03
5.495323129251701300e-01,1.566993183308868333e-03
5.578585600907030040e-01,1.307849993987280756e-03
5.661848072562358780e-01,1.128861878823205064e-03
5.745110544217687520e-01,9.960484254209324515e-04
5.828373015873016261e-01,8.936595778155611213e-04
5.911635487528345001e-01,8.115701498646217538e-04
5.994897959183673741e-01,7.405012107871738114e-04
6.078160430839003592e-01,6.801646388119736170e-04
6.161422902494332332e-01,6.355062080943637724e-04
6.244685374149661072e-01,5.944791952434191678e-04
6.327947845804989813e-01,5.501140163986311359e-04
6.411210317460318553e-01,5.153361795448153492e-04
6.494472789115647293e-01,4.872980007196313270e-04
6.577735260770976033e-01,4.618569168664765851e-04
6.660997732426304774e-01,4.387724675294666179e-04
6.744260204081633514e-01,4.180491850843631274e-04
6.827522675736962254e-01,4.031891405345021449e-04
6.910785147392290995e-01,3.783108099705777250e-04
6.994047619047619735e-01,3.679504088650174982e-04
7.077310090702948475e-01,3.523890894319173738e-04
7.160572562358277215e-01,3.389738257362099943e-04
