Frequency (Hz),Amplitude
0.000000000000000000e+00,6.543546577159509159e-02
8.326247165532880967e-03,3.538310835796814810e-03
1.665249433106576193e-02,1.827485725981901335e-03
2.497874149659864290e-02,1.170878563275378577e-03
3.330498866213152387e-02,9.062823979676143827e-04
4.163123582766440484e-02,6.761268519595368650e-04
4.995748299319728580e-02,5.480414334152240458e-04
5.828373015873016677e-02,4.382917461924221918e-04
6.660997732426304774e-02,3.921271616041101748e-04
7.493622448979592177e-02,3.043451054694708583e-04
8.326247165532880967e-02,3.005521450838547523e-04
9.158871882086169758e-02,2.878091068921167215e-04
9.991496598639457161e-02,2.815509256149032868e-04
1.082412131519274456e-01,2.619345417160476330e-04
1.165674603174603335e-01,2.434370577172146547e-04
1.248937074829932214e-01,2.366770625048609307e-04
1.332199546485260955e-01,2.725962253829369267e-04
1.415462018140589695e-01,2.593368873850391328e-04
1.498724489795918435e-01,2.533464567432478745e-04
1.581986961451247453e-01,2.298161328327707803e-04
1.665249433106576193e-01,2.508473881208669399e-04
1.748511904761904934e-01,2.397081728569733531e-04
1.831774376417233952e-01,2.442789768964384795e-04
1.915036848072562692e-01,2.830367043777563363e-04
1.998299319727891432e-01,2.644264778858748124e-04
2.081561791383220172e-01,3.083955310955007931e-04
2.164824263038548913e-01,2.910099604805632526e-04
2.248086734693877931e-01,3.184941318180276883e-04
2.331349206349206671e-01,3.205764652116575961e-04
2.414611678004535411e-01,3.197959784373981566e-04
2.497874149659864429e-01,3.490718678203112236e-04
2.581136621315193169e-01,3.553277814357022873e-04
2.664399092970521910e-01,3.487186384867792125e-04
2.747661564625850650e-01,3.561466317640487917e-04
2.830924036281179390e-01,4.049529336077702297e-04
2.914186507936508130e-01,4.500674562718086510e-04
2.997448979591836871e-01,4.000562843395927032e-04
3.080711451247166166e-01,4.160389840051944145e-04
3.163973922902494906e-01,4.680444002240655653e-04
3.247236394557823647e-01,4.985187592666048698e-04
3.330498866213152387e-01,5.247812061787646967e-04
3.413761337868481127e-01,5.433456912238504924e-04
3.497023809523809867e-01,5.660388433051074305e-04
3.580286281179138608e-01,5.607820289523774001e-04
3.663548752834467903e-01,6.500743676471866170e-04
3.746811224489796643e-01,6.748754485939151802e-04
3.830073696145125384e-01,7.332577323250617741e-04
3.913336167800454124e-01,7.975063723552657793e-04
3.996598639455782864e-01,8.487920418221102424e-04
4.079861111111111605e-01,9.202594720090316724e-04
4.163123582766440345e-01,1.012569867822930760e-03
4.246386054421769085e-01,1.195796688772522796e-03
4.329648526077097825e-01,1.289293637414260429e-03
4.412910997732427121e-01,1.475663603378928957e-03
4.496173469387755861e-01,1.734298548446511733e-03
4.579435941043084601e-01,2.019336297489031720e-03
4.662698412698413342e-01,2.359278476049969219e-03
4.745960884353742082e-01,3.094065212003253504e-03
4.829223356009070822e-01,4.180921296273407486e-03
4.912485827664399562e-01,6.438233296741366525e-03
4.995748299319728858e-01,1.374491695351567032e-02
5.079010770975057598e-01,8.200977716004632934e-02
5.162273242630386338e-01,1.070784552586032633e-02
5.245535714285715079e-01,5.708919370607598229e-03
5.328798185941043819e-01,3.860319504227857027e-03
5.412060657596372559e-01,2.931209752547615528e-03
5.495323129251701300e-01,2.414035151193085534e-03
5.578585600907030040e-01,1.971264735034606880e-03
5.661848072562358780e-01,1.702611691216999361e-03
5.745110544217687520e-01,1.512833239156283205e-03
5.828373015873016261e-01,1.359198825089408084e-03
5.911635487528345001e-01,1.239503382710611121e-03
5.994897959183673741e-01,1.118163493950211172e-03
6.078160430839003592e-01,1.019675169817463312e-03
6.161422902494332332e-01,9.501831479252580408e-04
