Frequency (Hz),Amplitude
0.000000000000000000e+00,1.675487699962797603e-02
8.326247165532880967e-03,3.601327117871157258e-04
1.665249433106576193e-02,2.416197896148274810e-04
2.497874149659864290e-02,1.828428455966588106e-04
3.330498866213152387e-02,1.744326233714445511e-04
4.163123582766440484e-02,1.745423845108462827e-04
4.995748299319728580e-02,1.685932830049197140e-04
5.828373015873016677e-02,1.670692101057989927e-04
6.660997732426304774e-02,1.617770296345808878e-04
7.493622448979592177e-02,1.673188619610900551e-04
8.326247165532880967e-02,1.685171364627952733e-04
9.158871882086169758e-02,1.687845328793755831e-04
9.991496598639457161e-02,1.748771654107820627e-04
1.082412131519274456e-01,1.788338236679714883e-04
1.165674603174603335e-01,1.741285433911426940e-04
1.248937074829932214e-01,1.776330185224499431e-04
1.332199546485260955e-01,1.839428498516266347e-04
1.415462018140589695e-01,1.816893590841963931e-04
1.498724489795918435e-01,1.953186043317532759e-04
1.581986961451247453e-01,1.950248886623066598e-04
1.665249433106576193e-01,1.996445808891283719e-04
1.748511904761904934e-01,2.078742257160600283e-04
1.831774376417233952e-01,2.072688723979859455e-04
1.915036848072562692e-01,2.089293509450229928e-04
1.998299319727891432e-01,2.197245060983453327e-04
2.081561791383220172e-01,2.255880228593937220e-04
2.164824263038548913e-01,2.325195296891011620e-04
2.248086734693877931e-01,2.397400964039548925e-04
2.331349206349206671e-01,2.448208987439758652e-04
2.414611678004535411e-01,2.542641149541944147e-04
2.497874149659864429e-01,2.649408892694509040e-04
2.581136621315193169e-01,2.676668408125997835e-04
2.664399092970521910e-01,2.759391479260127496e-04
2.747661564625850650e-01,2.965383631182082441e-04
2.830924036281179390e-01,3.063226724807781342e-04
2.914186507936508130e-01,3.137437853648819140e-04
2.997448979591836871e-01,3.283307153506275248e-04
3.080711451247166166e-01,3.388410325623068993e-04
3.163973922902494906e-01,3.625386804936347259e-04
3.247236394557823647e-01,3.818881436074249834e-04
3.330498866213152387e-01,3.921367527748692008e-04
3.413761337868481127e-01,4.110738249884473747e-04
3.497023809523809867e-01,4.392494324304930609e-04
3.580286281179138608e-01,4.594961155928174831e-04
