Frequency (Hz),Amplitude
0.000000000000000000e+00,6.915885250584609401e-02
8.326247165532880967e-03,3.920156430929295881e-03
1.665249433106576193e-02,1.778013967485287360e-03
2.497874149659864290e-02,7.648204345944950881e-04
3.330498866213152387e-02,4.130917314281637833e-04
4.163123582766440484e-02,4.733140036609078012e-04
4.995748299319728580e-02,5.019813627552033482e-04
5.828373015873016677e-02,4.875883689009974853e-04
6.660997732426304774e-02,3.491879327353648995e-04
7.493622448979592177e-02,2.848379098008572345e-04
8.326247165532880967e-02,2.421309118975816844e-04
9.158871882086169758e-02,2.636129894848569886e-04
9.991496598639457161e-02,3.003083807345568361e-04
1.082412131519274456e-01,2.822622524527814195e-04
1.165674603174603335e-01,3.481941495348923020e-04
1.248937074829932214e-01,3.369501547809388570e-04
1.332199546485260955e-01,3.232573018578562278e-04
1.415462018140589695e-01,2.961190390134740532e-04
1.498724489795918435e-01,2.372680973131316255e-04
1.581986961451247453e-01,2.396313365864915037e-04
1.665249433106576193e-01,3.270860935427895950e-04
1.748511904761904934e-01,3.512803375997935909e-04
1.831774376417233952e-01,3.419012938219763301e-04
1.915036848072562692e-01,3.162735064097290370e-04
1.998299319727891432e-01,2.807980187455904925e-04
2.081561791383220172e-01,2.964646162659378839e-04
2.164824263038548913e-01,2.822659807338504900e-04
2.248086734693877931e-01,3.022647903782019110e-04
2.331349206349206671e-01,3.503963245341402814e-04
2.414611678004535411e-01,3.650515359282631108e-04
2.497874149659864429e-01,3.918713927097535127e-04
2.581136621315193169e-01,4.057953889494318798e-04
2.664399092970521910e-01,4.322129840975643040e-04
2.747661564625850650e-01,4.417451844863472124e-04
2.830924036281179390e-01,3.847620138165857608e-04
2.914186507936508130e-01,3.344380975557950924e-04
2.997448979591836871e-01,3.806943738637124470e-04
3.080711451247166166e-01,3.383526706826038436e-04
3.163973922902494906e-01,4.484144362336164023e-04
3.247236394557823647e-01,5.271363904514971867e-04
3.330498866213152387e-01,5.281354379467568735e-04
3.413761337868481127e-01,5.253164874792210079e-04
3.497023809523809867e-01,5.819322757160418601e-04
3.580286281179138608e-01,6.531712402312846513e-04
3.663548752834467903e-01,6.373032677224618010e-04
3.746811224489796643e-01,7.042507783794902179e-04
3.830073696145125384e-01,7.346481201375691271e-04
3.913336167800454124e-01,8.098312711794443571e-04
3.996598639455782864e-01,9.160577783091978675e-04
4.079861111111111605e-01,9.873665980778937885e-04
4.163123582766440345e-01,1.087415650656838517e-03
4.246386054421769085e-01,1.141767808911630950e-03
4.329648526077097825e-01,1.301829720228447418e-03
