Frequency (Hz),Amplitude
0.000000000000000000e+00,1.747266289328231262e-02
8.326247165532880967e-03,5.703303465077598456e-04
1.665249433106576193e-02,3.469717292105650415e-04
2.497874149659864290e-02,2.596093601608305220e-04
3.330498866213152387e-02,2.408842258026337995e-04
4.163123582766440484e-02,2.233147804836221049e-04
4.995748299319728580e-02,2.269444640804943849e-04
5.828373015873016677e-02,2.125770781315530745e-04
6.660997732426304774e-02,2.143931167166865056e-04
7.493622448979592177e-02,2.143732917357881850e-04
8.326247165532880967e-02,2.185293628599454272e-04
9.158871882086169758e-02,2.228300251052458506e-04
9.991496598639457161e-02,2.155257070910643780e-04
1.082412131519274456e-01,2.265917901174249098e-04
1.165674603174603335e-01,2.354064265709744684e-04
1.248937074829932214e-01,2.377994148738826080e-04
1.332199546485260955e-01,2.328282493065245357e-04
1.415462018140589695e-01,2.259129041296541619e-04
1.498724489795918435e-01,2.308072651553909175e-04
1.581986961451247453e-01,2.424688978391466678e-04
1.665249433106576193e-01,2.475449335942701834e-04
1.748511904761904934e-01,2.484987163762707413e-04
1.831774376417233952e-01,2.556923144258065896e-04
1.915036848072562692e-01,2.603901391000760135e-04
1.998299319727891432e-01,2.680551695584621136e-04
2.081561791383220172e-01,2.710760482610850472e-04
2.164824263038548913e-01,2.821883440265754591e-04
2.248086734693877931e-01,2.889074838425408792e-04
2.331349206349206671e-01,2.993112985074242042e-04
2.414611678004535411e-01,3.077427051040214573e-04
2.497874149659864429e-01,3.152906793689581964e-04
2.581136621315193169e-01,3.216675898941992245e-04
2.664399092970521910e-01,3.380817665327146937e-04
2.747661564625850650e-01,3.507359262651857227e-04
2.830924036281179390e-01,3.609772805911026631e-04
2.914186507936508130e-01,3.712465117501006725e-04
2.997448979591836871e-01,3.910577105713888856e-04
3.080711451247166166e-01,4.040190642276152871e-04
3.163973922902494906e-01,4.220016396032882206e-04
3.247236394557823647e-01,4.405753784175833634e-04
3.330498866213152387e-01,4.672517702621548563e-04
3.413761337868481127e-01,4.877826792595466401e-04
3.497023809523809867e-01,5.076189666136876827e-04
3.580286281179138608e-01,5.373707699510817462e-04
