Frequency (Hz),Amplitude
0.000000000000000000e+00,1.066708627226050851e-02
1.603438864628821013e-03,1.808787205642036400e-04
3.206877729257642026e-03,7.020061207321860492e-05
4.810316593886462821e-03,9.747755395401350804e-05
6.413755458515284051e-03,8.143997612506927381e-05
8.017194323144105281e-03,8.066919635955271874e-05
9.620633187772925643e-03,5.065210064700051526e-05
1.122407205240174774e-02,8.376277579453451807e-05
1.282751091703056810e-02,8.083045637633236541e-05
1.443094978165938846e-02,7.991512519176802718e-05
1.603438864628821056e-02,7.654571092950665002e-05
1.763782751091703266e-02,7.448145421207414199e-05
1.924126637554585129e-02,7.102352918842294116e-05
2.084470524017467338e-02,7.088214781326799012e-05
2.244814410480349548e-02,9.080770805976729853e-05
2.405158296943231411e-02,1.073985472931193838e-04
2.565502183406113620e-02,1.071290385616410193e-04
2.725846069868995830e-02,6.569064489982600827e-05
2.886189956331877693e-02,6.679653591688785501e-05
3.046533842794759903e-02,7.326230810346064971e-05
3.206877729257642112e-02,7.440374193352064156e-05
3.367221615720523975e-02,6.799081539390908137e-05
3.527565502183406532e-02,6.363530476621954090e-05
3.687909388646288394e-02,6.663657280745500925e-05
3.848253275109170257e-02,6.897722393317158042e-05
4.008597161572052814e-02,6.278922425461742375e-05
4.168941048034934677e-02,7.151433439618833153e-05
4.329284934497816539e-02,6.847811330750925326e-05
4.489628820960699096e-02,5.735133927272903135e-05
4.649972707423580959e-02,8.188988203448787566e-05
4.810316593886462821e-02,1.770648367299463405e-04
4.970660480349345378e-02,5.889872872903893579e-05
5.131004366812227241e-02,5.672196271941077033e-05
5.291348253275109104e-02,6.800560974185865801e-05
5.451692139737991660e-02,6.108443187973500448e-05
5.612036026200873523e-02,6.513831662447591773e-05
5.772379912663755386e-02,6.126916295419108764e-05
5.932723799126637942e-02,5.892274001897964368e-05
6.093067685589519805e-02,6.083746203322094821e-05
6.253411572052401668e-02,5.559975690400921695e-05
6.413755458515284225e-02,6.740232233309373150e-05
6.574099344978166781e-02,5.815968490373434350e-05
6.734443231441047950e-02,6.411178478796036254e-05
6.894787117903930507e-02,6.971276707675415222e-05
7.055131004366813063e-02,9.307322854982061095e-05
7.215474890829694232e-02,8.332587824470500738e-05
7.375818777292576789e-02,9.089070413153297961e-05
7.536162663755459346e-02,5.574319871812396496e-05
7.696506550218340514e-02,5.970579995493435082e-05
7.856850436681223071e-02,6.056390099529278790e-05
8.017194323144105628e-02,5.610742252273622345e-05
8.177538209606986797e-02,6.210761607925551614e-05
8.337882096069869353e-02,6.253281034952300188e-05
8.498225982532751910e-02,5.980226241822275934e-05
8.658569868995633079e-02,6.035871760237169033e-05
8.818913755458515635e-02,6.166661805609590145e-05
8.979257641921398192e-02,5.855433091952314987e-05
9.139601528384279361e-02,6.347304834660771661e-05
9.299945414847161917e-02,7.415253424920454522e-05
9.460289301310044474e-02,7.799896902845690364e-05
9.620633187772925643e-02,6.484257954460468938e-05
9.780977074235808200e-02,8.196887345226582216e-05
9.941320960698690756e-02,6.746288346331304371e-05
1.010166484716157193e-01,5.904424220557582582e-05
1.026200873362445448e-01,5.905825961797455499e-05
1.042235262008733704e-01,6.272934049407679691e-05
1.058269650655021821e-01,6.448018663303925642e-05
1.074304039301310076e-01,6.239395152707792548e-05
1.090338427947598332e-01,6.123555977947890672e-05
1.106372816593886449e-01,6.610490036807857171e-05
1.122407205240174705e-01,6.320335126767022231e-05
1.138441593886462960e-01,6.798270312916888936e-05
1.154475982532751077e-01,6.621221174653612641e-05
1.170510371179039333e-01,6.041570666440024463e-05
1.186544759825327588e-01,5.590684884131252321e-05
1.202579148471615705e-01,8.352567485991031575e-05
1.218613537117903961e-01,6.739998911020909835e-05
1.234647925764192217e-01,6.687556399032641827e-05
1.250682314410480334e-01,7.194745947120219549e-05
1.266716703056768589e-01,6.680434728184331695e-05
1.282751091703056845e-01,7.092638460096956641e-05
1.298785480349345101e-01,6.770940015923750414e-05
1.314819868995633356e-01,7.357102136117457929e-05
1.330854257641921334e-01,7.125320208380267126e-05
1.346888646288209590e-01,7.565715339949319221e-05
1.362923034934497846e-01,7.441101051818308854e-05
1.378957423580786101e-01,7.246399139405167850e-05
1.394991812227074357e-01,7.132504784072534452e-05
1.411026200873362613e-01,7.321675277132706902e-05
1.427060589519650591e-01,6.945703367614688214e-05
1.443094978165938846e-01,9.279649988939343993e-05
1.459129366812227102e-01,6.283951949171266726e-05
1.475163755458515358e-01,7.289040656741553224e-05
1.491198144104803613e-01,7.873138142966345046e-05
1.507232532751091869e-01,7.803168201848166032e-05
1.523266921397379847e-01,7.743775720425781581e-05
1.539301310043668103e-01,7.872287287816805710e-05
1.555335698689956359e-01,7.781980857045268007e-05
1.571370087336244614e-01,7.912096277788615759e-05
1.587404475982532870e-01,7.925626723399643479e-05
1.603438864628821126e-01,8.035884231095975609e-05
1.619473253275109104e-01,8.242309169513997258e-05
1.635507641921397359e-01,8.078378411196008332e-05
1.651542030567685615e-01,7.969999651905807837e-05
1.667576419213973871e-01,7.863826065278286062e-05
1.683610807860262126e-01,9.240581654220451837e-05
1.699645196506550382e-01,6.033230394031899633e-05
1.715679585152838360e-01,8.333485373383134971e-05
1.731713973799126616e-01,7.282145559919183623e-05
1.747748362445414871e-01,7.673189244422962195e-05
1.763782751091703127e-01,8.010003011594284312e-05
1.779817139737991383e-01,7.711339200728891243e-05
1.795851528384279638e-01,7.675166743734997393e-05
1.811885917030567617e-01,7.913757455999020007e-05
1.827920305676855872e-01,7.893271538057579112e-05
1.843954694323144128e-01,7.775340031475691462e-05
1.859989082969432383e-01,7.637002571171926861e-05
1.876023471615720639e-01,7.387174890070022718e-05
1.892057860262008895e-01,6.880821700530132456e-05
1.908092248908296873e-01,8.277956812004150439e-05
1.924126637554585129e-01,6.879198917789768606e-05
1.940161026200873384e-01,5.592871122890137267e-05
1.956195414847161640e-01,7.193977651915938821e-05
1.972229803493449896e-01,7.160366123539763908e-05
1.988264192139738151e-01,7.096956352447834665e-05
2.004298580786026129e-01,6.827481025602331768e-05
2.020332969432314385e-01,6.968970366494829335e-05
2.036367358078602641e-01,6.851911632554542734e-05
2.052401746724890896e-01,7.281630596455743014e-05
2.068436135371179152e-01,6.535056026486160674e-05
2.084470524017467408e-01,6.640018721799890392e-05
2.100504912663755663e-01,6.238679982639179890e-05
2.116539301310043641e-01,6.136152157171889025e-05
2.132573689956331897e-01,6.396638824430857305e-05
2.148608078602620153e-01,7.298612830510694508e-05
2.164642467248908408e-01,4.666795831138106096e-05
2.180676855895196664e-01,4.101739637186866040e-05
2.196711244541484920e-01,6.396686015188914477e-05
2.212745633187772898e-01,6.585502488377971441e-05
2.228780021834061154e-01,6.431542455187501622e-05
2.244814410480349409e-01,5.859508532731603114e-05
2.260848799126637665e-01,6.221865692770539591e-05
2.276883187772925921e-01,5.515349431608332418e-05
2.292917576419214176e-01,5.611975213433903882e-05
2.308951965065502154e-01,5.399910923895522540e-05
2.324986353711790410e-01,4.970587624103563478e-05
2.341020742358078666e-01,5.552477102756328022e-05
2.357055131004366921e-01,5.133936146385349557e-05
2.373089519650655177e-01,5.214430102599209118e-05
2.389123908296943433e-01,5.266904160503259731e-05
2.405158296943231411e-01,3.596061875777421970e-05
2.421192685589519666e-01,4.592280904178677612e-05
2.437227074235807922e-01,5.703180041211254890e-05
2.453261462882096178e-01,5.461794419058880112e-05
2.469295851528384433e-01,5.070638518218557075e-05
2.485330240174672689e-01,4.780137881387711571e-05
2.501364628820960667e-01,4.430216953455242280e-05
2.517399017467248923e-01,4.797810594678746955e-05
2.533433406113537179e-01,4.802963357780112819e-05
2.549467794759825434e-01,4.283999854099202636e-05
2.565502183406113690e-01,4.343988097212608910e-05
2.581536572052401945e-01,4.733385214948846023e-05
2.597570960698690201e-01,4.752140133757838593e-05
2.613605349344978457e-01,4.166891610999800980e-05
2.629639737991266712e-01,4.141236153201442488e-05
2.645674126637554413e-01,4.551052726300631654e-05
2.661708515283842669e-01,6.381557272444280673e-05
2.677742903930130924e-01,5.420923422782989652e-05
2.693777292576419180e-01,4.829219005999963051e-05
2.709811681222707436e-01,4.807958298865976679e-05
2.725846069868995691e-01,5.518043910512257342e-05
2.741880458515283947e-01,5.671895803086788164e-05
2.757914847161572203e-01,5.443704442555382614e-05
2.773949235807860458e-01,5.660110250645391611e-05
2.789983624454148714e-01,5.982761166128978887e-05
2.806018013100436970e-01,5.780927704622720870e-05
2.822052401746725225e-01,5.995567015444982790e-05
2.838086790393012926e-01,6.197785946868462361e-05
2.854121179039301182e-01,6.674119345011998087e-05
2.870155567685589437e-01,6.060118840480663960e-05
2.886189956331877693e-01,6.396708911567776097e-05
2.902224344978165949e-01,8.910042220348092761e-05
2.918258733624454204e-01,6.249790351120543578e-05
2.934293122270742460e-01,7.277338268176803142e-05
2.950327510917030716e-01,7.487047686551481502e-05
2.966361899563318971e-01,7.287847043932146624e-05
2.982396288209607227e-01,7.296125209930552364e-05
2.998430676855895483e-01,7.689210715150580282e-05
3.014465065502183738e-01,7.723182067089952990e-05
3.030499454148471439e-01,7.671102568482945786e-05
3.046533842794759694e-01,8.122022131369919021e-05
3.062568231441047950e-01,7.872358431089908869e-05
3.078602620087336206e-01,8.599961813879969592e-05
3.094637008733624461e-01,8.991402245697292003e-05
3.110671397379912717e-01,9.013619198843745564e-05
3.126705786026200973e-01,7.739151112499731205e-05
3.142740174672489228e-01,1.035999018193195471e-04
3.158774563318777484e-01,7.155861862221151641e-05
3.174808951965065740e-01,9.408316831839478548e-05
3.190843340611353995e-01,8.787543722911654077e-05
3.206877729257642251e-01,8.968689892610040798e-05
3.222912117903930507e-01,9.371148181995830504e-05
3.238946506550218207e-01,9.434814096213471786e-05
3.254980895196506463e-01,9.500515317594018262e-05
3.271015283842794719e-01,9.501558459720847553e-05
3.287049672489082974e-01,9.589927419365908146e-05
3.303084061135371230e-01,9.682501889766494953e-05
3.319118449781659486e-01,9.728572839445751681e-05
3.335152838427947741e-01,9.885089480202306257e-05
3.351187227074235997e-01,1.071427414609027652e-04
3.367221615720524253e-01,8.918540203119935451e-05
3.383256004366812508e-01,1.127715734559800437e-04
3.399290393013100764e-01,9.298887544757470129e-05
3.415324781659389020e-01,9.247785984153121639e-05
3.431359170305676720e-01,9.528677955045041848e-05
3.447393558951964976e-01,1.001109729339941143e-04
3.463427947598253231e-01,1.011268093750681272e-04
3.479462336244541487e-01,1.011135762846691877e-04
3.495496724890829743e-01,1.041159595971197574e-04
3.511531113537117998e-01,1.020890948619675967e-04
3.527565502183406254e-01,1.004802880604125189e-04
3.543599890829694510e-01,1.040735771063762958e-04
3.559634279475982765e-01,9.957061343173391357e-05
3.575668668122271021e-01,9.767469804873792647e-05
3.591703056768559277e-01,1.030143480511310340e-04
3.607737445414847532e-01,9.490294871545022813e-05
3.623771834061135233e-01,1.067114811805406320e-04
3.639806222707423489e-01,1.014421505943743820e-04
3.655840611353711744e-01,9.377251524389913729e-05
3.671875000000000000e-01,1.062744794361409402e-04
3.687909388646288256e-01,9.868815237131017750e-05
3.703943777292576511e-01,9.641180440738367577e-05
3.719978165938864767e-01,9.619766505841992994e-05
3.736012554585153023e-01,9.417088968240004557e-05
3.752046943231441278e-01,9.590044007800528712e-05
3.768081331877729534e-01,9.304310239449897725e-05
3.784115720524017790e-01,8.854860680002170825e-05
3.800150109170306045e-01,8.953724992350548179e-05
3.816184497816593746e-01,8.903323296177722852e-05
3.832218886462882002e-01,7.714983877062033153e-05
3.848253275109170257e-01,8.466654596776430355e-05
3.864287663755458513e-01,7.881724092454747092e-05
3.880322052401746769e-01,9.466651005529771220e-05
3.896356441048035024e-01,9.500207090300535971e-05
3.912390829694323280e-01,7.876588598881843924e-05
3.928425218340611536e-01,7.925514497527389119e-05
3.944459606986899791e-01,7.897004793152831881e-05
3.960493995633188047e-01,7.451235220374522079e-05
3.976528384279476303e-01,7.234904730862036753e-05
3.992562772925764558e-01,6.744324573612197346e-05
4.008597161572052259e-01,6.265562092918037596e-05
4.024631550218340514e-01,6.172468779990407460e-05
4.040665938864628770e-01,6.224876808200127166e-05
4.056700327510917026e-01,5.541174542106392005e-05
4.072734716157205281e-01,4.168666264008736655e-05
4.088769104803493537e-01,5.674162515525338791e-05
4.104803493449781793e-01,3.484696364804325681e-05
4.120837882096070048e-01,7.127990759747149534e-05
4.136872270742358304e-01,4.830574448418300046e-05
4.152906659388646560e-01,4.451865507906637321e-05
4.168941048034934815e-01,4.188027826983299693e-05
4.184975436681223071e-01,3.141884012352808752e-05
4.201009825327511327e-01,2.965498039457746266e-05
4.217044213973799027e-01,2.255214240662767547e-05
4.233078602620087283e-01,2.024977798667423404e-05
4.249112991266375539e-01,1.439616838282424373e-05
4.265147379912663794e-01,9.191900133374374574e-06
4.281181768558952050e-01,2.895569662673938931e-06
4.297216157205240306e-01,9.705093102953221460e-06
4.313250545851528561e-01,6.039106993799985960e-06
4.329284934497816817e-01,3.102031239883098378e-05
4.345319323144105073e-01,5.194835806081551954e-05
4.361353711790393328e-01,1.098429161650469028e-05
4.377388100436681584e-01,3.644415465081294030e-05
4.393422489082969840e-01,2.707978742765203297e-05
4.409456877729257540e-01,3.968401394120267246e-05
4.425491266375545796e-01,4.391867564736381718e-05
4.441525655021834051e-01,5.229351139236310337e-05
4.457560043668122307e-01,6.173071429406946985e-05
4.473594432314410563e-01,7.007641537569347435e-05
4.489628820960698818e-01,8.309711066633377046e-05
4.505663209606987074e-01,9.277627769404574436e-05
4.521697598253275330e-01,9.871108078065019204e-05
4.537731986899563585e-01,1.076711970526479005e-04
4.553766375545851841e-01,1.248509499642801168e-04
4.569800764192140097e-01,1.499707439226822744e-04
4.585835152838428352e-01,1.713565764872855654e-04
4.601869541484716053e-01,1.356362108349893193e-04
4.617903930131004309e-01,1.437063350468622527e-04
4.633938318777292564e-01,1.847955335583407609e-04
4.649972707423580820e-01,1.938603619095739415e-04
4.666007096069869076e-01,2.197210982769966269e-04
4.682041484716157331e-01,2.273659462340908808e-04
4.698075873362445587e-01,2.552513602377856324e-04
4.714110262008733843e-01,2.791926888960149329e-04
4.730144650655022098e-01,2.945101280032968701e-04
4.746179039301310354e-01,3.294702825613909534e-04
4.762213427947598610e-01,3.566214099822431413e-04
4.778247816593886865e-01,3.878002658667592116e-04
4.794282205240174566e-01,4.144985282848024743e-04
4.810316593886462821e-01,4.303461687970093724e-04
4.826350982532751077e-01,4.773399623378143269e-04
4.842385371179039333e-01,6.449527633929965633e-04
4.858419759825327588e-01,6.961201715872400182e-04
4.874454148471615844e-01,7.436740554453474730e-04
4.890488537117904100e-01,8.328146511319209225e-04
4.906522925764192355e-01,9.275489634492899019e-04
4.922557314410480611e-01,1.066760716624378475e-03
4.938591703056768867e-01,1.222713777506181237e-03
4.954626091703057122e-01,1.434647066526895153e-03
4.970660480349345378e-01,1.766332468142087393e-03
4.986694868995633079e-01,2.174270144949427309e-03
5.002729257641921334e-01,2.779378745595394336e-03
5.018763646288210145e-01,3.743539908415117155e-03
5.034798034934497846e-01,5.568440460388535476e-03
5.050832423580786656e-01,9.753780795328938213e-03
5.066866812227074357e-01,2.706659659017907060e-02
5.082901200873362058e-01,3.329531127305412896e-02
5.098935589519650868e-01,1.071040022964001720e-02
5.114969978165938569e-01,6.950791234418342811e-03
5.131004366812227380e-01,5.397267164904191727e-03
5.147038755458515080e-01,4.584444111437151193e-03
5.163073144104803891e-01,4.109031799295706847e-03
5.179107532751091592e-01,3.877430089460578554e-03
5.195141921397380402e-01,3.779040210006640119e-03
5.211176310043668103e-01,3.814510101839928540e-03
5.227210698689956914e-01,4.038543244968743548e-03
5.243245087336244614e-01,4.432353904133653349e-03
5.259279475982533425e-01,5.208946033940889050e-03
5.275313864628821126e-01,6.697712999756986162e-03
5.291348253275108826e-01,1.029659387782501032e-02
5.307382641921397637e-01,2.352510999396741423e-02
5.323417030567685337e-01,2.871303183665624426e-02
5.339451419213974148e-01,7.469756423527094610e-03
5.355485807860261849e-01,4.199795073531082355e-03
5.371520196506550660e-01,2.830418364886387074e-03
5.387554585152838360e-01,2.080426882929636758e-03
5.403588973799127171e-01,1.614313584087499103e-03
5.419623362445414871e-01,1.297220004785020657e-03
5.435657751091703682e-01,1.071753299483223969e-03
5.451692139737991383e-01,8.933709999896896799e-04
5.467726528384280194e-01,7.593523643853452784e-04
5.483760917030567894e-01,6.497907556794752914e-04
5.499795305676855595e-01,5.608661989990281187e-04
5.515829694323144405e-01,4.755069192859749227e-04
5.531864082969432106e-01,4.193664222960114831e-04
5.547898471615720917e-01,3.907544709045407774e-04
5.563932860262008617e-01,3.922156323125792609e-04
5.579967248908297428e-01,3.202680355663365687e-04
5.596001637554585129e-01,2.988939431721186930e-04
5.612036026200873939e-01,2.700607968936713033e-04
5.628070414847161640e-01,2.320275991341028100e-04
5.644104803493450451e-01,2.130352319426987264e-04
5.660139192139738151e-01,1.944726643259091475e-04
5.676173580786025852e-01,1.780230303389523786e-04
5.692207969432314663e-01,1.629775805597884165e-04
5.708242358078602363e-01,1.452652137623183380e-04
5.724276746724891174e-01,1.369609659677583269e-04
5.740311135371178874e-01,1.197652949684773128e-04
5.756345524017467685e-01,1.123449062143843291e-04
5.772379912663755386e-01,8.418687362832394936e-05
5.788414301310044197e-01,1.009631320753969809e-04
5.804448689956331897e-01,7.399283044031154742e-05
5.820483078602620708e-01,8.189783303467432782e-05
5.836517467248908408e-01,7.129148603341247000e-05
5.852551855895197219e-01,5.678141663667103607e-05
5.868586244541484920e-01,5.485681553932282567e-05
5.884620633187772620e-01,4.917556059372817247e-05
5.900655021834061431e-01,3.986600577252057815e-05
5.916689410480349132e-01,3.757133735243482916e-05
5.932723799126637942e-01,3.154049183077899083e-05
5.948758187772925643e-01,2.856494050181804001e-05
5.964792576419214454e-01,2.391042156713849392e-05
5.980826965065502154e-01,2.716544365271413976e-05
5.996861353711790965e-01,1.431367302581996235e-05
6.012895742358078666e-01,2.809581570282081473e-05
6.028930131004367476e-01,1.006269770947948870e-05
6.044964519650655177e-01,2.098681616448924215e-05
6.060998908296942878e-01,3.217926705249247668e-05
6.077033296943231688e-01,1.824438587619553267e-05
6.093067685589519389e-01,1.632357049714819932e-05
6.109102074235808200e-01,1.658160596109377471e-05
6.125136462882095900e-01,2.080661760057778264e-05
6.141170851528384711e-01,2.303633206740058598e-05
6.157205240174672412e-01,2.337967449496736666e-05
6.173239628820961222e-01,2.328130324221921709e-05
6.189274017467248923e-01,2.547746560605909619e-05
6.205308406113537734e-01,2.363715668598601489e-05
6.221342794759825434e-01,2.537382973146034675e-05
6.237377183406114245e-01,2.912184702545511018e-05
6.253411572052401945e-01,2.610754572101101276e-05
6.269445960698689646e-01,3.228358255828006043e-05
6.285480349344978457e-01,2.966367741453023233e-05
6.301514737991266157e-01,4.089798944841455683e-05
6.317549126637554968e-01,2.146236081685674150e-05
6.333583515283842669e-01,3.422195604407507306e-05
6.349617903930131479e-01,3.334312207450665399e-05
6.365652292576419180e-01,3.294397286306140432e-05
6.381686681222707991e-01,3.163124391240772324e-05
6.397721069868995691e-01,3.650323627098017661e-05
6.413755458515284502e-01,3.824080291247646137e-05
6.429789847161572203e-01,3.853617756009735409e-05
6.445824235807861013e-01,3.852108494512881113e-05
6.461858624454148714e-01,3.666316827635024943e-05
6.477893013100436415e-01,3.939345821083688176e-05
6.493927401746725225e-01,4.637676657473526658e-05
6.509961790393012926e-01,3.871720489789601553e-05
6.525996179039301737e-01,3.519500792437243921e-05
6.542030567685589437e-01,3.947086524895938793e-05
6.558064956331878248e-01,2.802339481865336618e-05
6.574099344978165949e-01,4.012955779278543214e-05
6.590133733624454759e-01,3.947603019859937149e-05
6.606168122270742460e-01,3.709616971424597147e-05
6.622202510917031271e-01,3.883687156177222175e-05
6.638236899563318971e-01,4.067133323155110132e-05
6.654271288209606672e-01,4.057449690527142763e-05
6.670305676855895483e-01,3.785130219365364626e-05
6.686340065502183183e-01,3.572815280595140539e-05
6.702374454148471994e-01,3.730083402054803679e-05
6.718408842794759694e-01,4.454712793833355761e-05
6.734443231441048505e-01,3.069948670515022056e-05
6.750477620087336206e-01,4.123722386077161337e-05
6.766512008733625017e-01,3.685617614145575134e-05
6.782546397379912717e-01,3.311490282791771332e-05
6.798580786026201528e-01,3.866939968344219110e-05
6.814615174672489228e-01,3.392539143438046487e-05
6.830649563318778039e-01,3.727435917646464863e-05
6.846683951965065740e-01,3.668488472642408306e-05
6.862718340611353440e-01,3.588665429939646409e-05
6.878752729257642251e-01,3.424088355878299991e-05
